2.4818,-0.3005,-1.9625,0.9932,-1.3303,-1.9872,-0.9611,3.3138,-2.0071,3.5529,-0.2782,2.1486,-0.8459,2.5705,-1.7419,2.0257,-3.5590,-2.4775,-3.4877,-1.5705,-2.3266,-3.3477,3.5925,-4.4217,3.1568,3.7154,2.5341,-2.3299,-0.1426,-0.4175,-3.5058
-0.3365,-1.5340,-2.7450,-3.0597,3.4362,-0.5646,1.4310,-4.2108,4.8920,1.6760,4.1742,-3.9794,-2.4392,2.7307,-1.5005,-1.4175,-2.8907,-0.9416,-5.0728,-1.9749,3.9555,-2.1877,1.3724,2.9344,-3.1607,-2.6185,-0.5498,-3.8088,1.6430,3.8476,-2.7403
-5.9919,-1.0764,-3.6989,0.5534,-1.6847,-2.3371,0.9331,2.7117,-2.9291,-5.0651,-1.9264,-1.6970,-2.5049,-0.9402,4.5507,0.3867,-1.2371,-1.8654,-2.7929,-0.4102,3.5607,-2.2343,-2.1685,0.7482,3.4214,-0.4219,2.9952,0.9576,-3.2539,-4.6912,-1.9389
-2.7877,-1.3442,0.1261,-3.6642,-0.6949,2.3474,-1.0174,2.7989,-3.2289,1.6878,3.8068,-0.8278,-0.6976,-4.7897,-2.3993,-5.4329,-1.3327,-2.0616,0.9441,-0.8544,-0.8872,2.3441,-2.1462,-0.7589,-0.8562,5.7611,-3.0329,0.4712,4.0333,-2.1714,-2.9631
4.0686,2.9304,-3.1747,2.1402,-5.2656,2.3252,-4.2194,-3.9284,6.0233,-1.5989,-0.2527,-3.1892,-1.9601,1.5003,0.3157,-1.5753,2.4345,4.8444,1.3224,2.8789,-2.9240,3.9563,-3.6415,-2.8561,2.9557,0.6487,-1.2464,-3.2008,-4.3060,-3.2014,1.5321
1.3593,-1.2679,0.0040,-2.9664,-3.2399,0.9382,-0.4453,-1.9095,-2.8794,-0.1913,-4.3777,3.9946,-1.1455,2.5737,-4.0076,-3.2843,-2.3671,1.1930,4.8085,-2.2016,-2.9005,-5.9402,0.7114,1.0390,-1.8519,-1.9469,2.3735,-0.7156,0.4632,0.5346,-2.5089
-2.4919,-4.0808,-0.3924,1.4174,-0.0918,1.8000,3.9494,-1.1155,-0.7713,1.5629,0.1755,-0.3980,4.4544,-3.6008,2.3349,-0.7770,-1.9310,2.6003,-0.8570,2.9496,1.4980,2.1035,4.1270,-4.1596,-3.0027,-2.2921,-0.2373,-1.9187,-3.6425,-3.1660,-0.6380
-3.3606,1.8665,-2.1872,5.3597,2.4920,-2.3663,-3.8456,-4.1022,-3.0285,2.1250,-1.1746,2.2821,-0.7886,-3.6319,-1.6066,-0.7819,-2.0934,-2.7785,-1.8698,-4.1417,-5.4051,-1.0029,-1.1214,5.6380,-4.5679,-4.0813,-3.6306,-3.0440,1.8713,-2.3422,-3.4988
-1.8943,1.5548,3.2065,-4.8864,1.3649,-4.5794,3.7118,0.1892,-0.3326,-0.4575,-6.2593,-0.0495,-3.7560,-4.2368,-0.1369,4.7919,-3.4903,-2.4193,1.1205,-0.2310,-2.6763,2.0002,-3.2319,0.2984,2.2107,-5.6219,-1.0962,-2.4759,0.1999,2.4404,-3.3125
1.5941,-3.3991,3.9416,1.1065,-3.7891,0.1506,-4.5792,-1.3429,-1.0464,-3.4802,-0.9040,1.7100,-1.9686,-4.1352,-1.9443,1.9695,-0.9500,-2.4069,-2.5492,2.4956,3.0161,-1.4182,-3.7370,-2.1324,-3.6363,-1.0544,-4.2381,-1.5800,-1.8924,3.5060,-1.8968
